项目,文件名,日期,扩展名,文档类型,描述,页数或行数,字数,工序阶段,脱敏风险,摘要,置信度
内部群,内部_承诺书_260626_01.doc,260626,doc,证明材料,承诺书,0,1310,无法判断,无,压力管道安装单位安全承诺书 根据《中华人民共和国特种设备安全法》、《特种设备生产单位落实质量安全主体责任监督管理规定》（国家市场监管总局令第73号）、《特种设备使用管理规则》、《工业管道安全技术规程》,高
内部群,内部_投标记录_260324_01.xlsx,260322,xlsx,投标记录,投标记录,,,无法判断,金额报价,,高
内部群,内部_投标记录_260319_01.xlsx,260319,xlsx,投标记录,投标记录,,,无法判断,无,,高
内部群,内部_报价单_260303_06.xlsx,260303,xlsx,报价单,报价单,,,无法判断,金额报价,,高
内部群,内部_报价单_260311_01.xls,260311,xls,报价单,报价单,,,无法判断,金额报价,,高
内部群,内部_投标记录_260325_01.xlsx,260326,xlsx,投标记录,投标记录,,,无法判断,金额报价,,高
内部群,内部_投标记录_260326_01.xlsx,260306,xlsx,投标记录,投标记录,,,无法判断,金额报价,,高
内部群,内部_投标记录_260310_01.xlsx,260310,xlsx,投标记录,投标记录,,,无法判断,无,,高
内部群,内部_报价单_260313_01.xlsx,260313,xlsx,报价单,报价单,,,无法判断,金额报价,,高
内部群,内部_投标记录_260323_01.xlsx,260304,xlsx,投标记录,投标记录,,,无法判断,金额报价,,高
内部群,内部_投标记录_260320_01.xlsx,260323,xlsx,投标记录,投标记录,,,无法判断,金额报价,,高
内部群,内部_投标记录_260313_01.xlsx,260313,xlsx,投标记录,投标记录,,,无法判断,无,,高
内部群,内部_技术规范_260318_01.docx,260318,docx,技术资料,技术规范,,,无法判断,客户名称、金额报价,,高
内部群,内部_投标记录_260322_01.xlsx,260324,xlsx,投标记录,投标记录,,,无法判断,金额报价,,高
内部群,内部_报价单_260309_01.xls,260309,xls,报价单,报价单,,,无法判断,金额报价,,高
内部群,内部_报价单_260303_03.xlsx,260303,xlsx,报价单,报价单,,,无法判断,金额报价,,高
