项目,文件名,日期,原文件名,大小,描述,置信度,时长秒,分辨率,帧率,有无音轨,重复于,可用起点秒,可用终点秒,功能位,画质等级,画面元素,镜头特征,工序阶段,脱敏风险,缩略图路径,标注执行者,标注日期,复核状态
化工群,化工_氯化铵8-14#盖板_260816_001.jpg,260816,000b647c2c665ee492222b3bbf29d0a5.jpg,422747,氯化铵8-14#盖板,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260611_001.jpg,260611,003c8c8e7328941f63a5d55ab01a012f.jpg,393297,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260708_001.jpg,260708,00bfbe2ed611a7c5496b88e941c18d93.jpg,426874,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_氯化铵沟槽_260627_001.jpg,260627,00fcbc47dc1a065fdbce8a5a8d487845.jpg,381852,氯化铵沟槽,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260721_001.jpg,260721,0126c869470a2ad7fcda7aaae70bd20f.jpg,682721,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260803_001.jpg,260803,012b286a367a6974a4537d734cbac8b8.jpg,581648,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260528_001.jpg,260528,01351cdc6d182ad98c2eb0d687b020ba.jpg,335997,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260611_002.jpg,260611,0183ce6a4d8cc51de4bc4565eae627ff.jpg,620882,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_混凝土沟槽_260708_001.jpg,260708,019e9d19407a15d81b067eb9827fd6a6.jpg,605163,混凝土沟槽,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260716_001.jpg,260716,020415fe554b93b48de6267ed0ee39ff.jpg,1242757,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260530_001.jpg,260530,027f571294bb62a3c96b269479544b65.jpg,692806,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260715_001.jpg,260715,0280baa2107e872967a39ed926c2ebf5.jpg,1226006,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260717_001.jpg,260717,02d07cd8afc03fab2e6a7f70752b5b27.jpg,725140,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260726_001.jpg,260726,030bcb6a83aef6f2af99ce496f3812c7.jpg,383960,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260613_001.jpg,260613,031be87353b5c986948764bd52389827.jpg,282249,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_氯化铵5 6 8#污水池_260711_001.jpg,260711,032b174864c365614a9e1bac2df761e0.jpg,365002,氯化铵5 6 8#污水池,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260807_001.jpg,260807,032f9c90c5af7300d765a30cd0dcc8fc.jpg,715365,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260717_002.jpg,260717,03c56b137a8e09b953a59e62a1ab4656.jpg,725783,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260809_001.jpg,260809,03c86b66e423cdea82f802e6f98bde8d.jpg,411720,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260609_001.jpg,260609,03e4fd350bfb33d3cae13610c06b2bbc.jpg,507665,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
