path,bytes,sha256
00_总索引与补漏复核/KMFA_HTML_UIUX_报告样板强制继承规范_v1_2.md,1090,df38dda774d1ecd91d73c863229f98e49b2fd683d8216788365be39ef012ef9f
00_总索引与补漏复核/KMFA_v1_2_最终交付检查清单.md,1293,8a6a67d6f7bdc5930fe47b23c8e4a23ce6ad1721acde9ed7751c5534ea9f310d
00_总索引与补漏复核/KMFA_全量信息承接矩阵_v1_2.csv,1390,dca33a073c7600d2d3490197e3bbb81ca72c9728dff4260d4fa8fe8495e36cf7
00_总索引与补漏复核/KMFA_补漏复核报告_v1_2.md,3262,e02bb54d811b363d9d08eacc462bd971cc3db955116db27086d05295202e61ee
01_KMFA_Codex_TaskPack_v1_1_完整防遗漏.md,10541,6446d5bcaab11be2b2e7cb4b1db673782d785062d8e9071152cabdb74b9dfcd5
01_KMFA_Codex_TaskPack_v1_2_完整防遗漏_含HTML验收样板.md,13344,39ba2d486ba282f669a4c673e573f6d818a0885fc2d7e326b9a72c7e36732dd4
02_KMFA_Codex_Development_Roadmap_18_Stages_v1_1.md,31710,de08602f659b2618883e686f88d3427a76c5358ec4f1491062d0b5df8b304cc5
02_KMFA_Codex_Development_Roadmap_18_Stages_v1_2.md,32377,2d37fc8a0a11858176711b7e0800fc75fa1870f1510d2e774cfe3be5ac51c734
03_KMFA_Codex_第一轮只读启动提示词_v1_1.md,1183,989821a1eadb4c3ceee406f3de97e38bf7865ff2d1bcfc8ad9fcd786d155d381
04_KMFA_需求追溯矩阵_v1_1.csv,3261,77b8b432b8d1769de598b56af9daa9ab24fd3e8b7673f1c34378f633fddfd87b
05_KMFA_数据治理与质量门禁_v1_1.md,1670,48dbc6419d54f994450fecc90a7aceea87bcbf7a9fb5b57fd497487d79fae81d
06_KMFA_模型公式函数参数主注册表_v1_1.yaml,1595,1af3a784429ed642e550fbf33732a361e2770c6feac2d59f46e0cb20bf4764cc
07_KMFA_业务线模块矩阵_v1_1.csv,1826,efeafbface23f989ba4a7953b926d7874870c50e727fd5acb92d31c7ae9dc51b
08_KMFA_零差异验证与测试计划_v1_1.md,1310,5b4c7dca0268ea34ba933c8a662217eb9fea887097d0afff86de62214d7d9ca8
09_KMFA_前端交互与人类可读报告规范_v1_1.md,1266,282cfd263d13a8d38b84d4271fcb09b73ecb707700a0842b38a436466476aff4
10_KMFA_最终交付检查清单_v1_1.md,1284,a12b41ef1c3f74a65fa037c1035d75501faff5cf57253791331e54037f385a64
11_KMFA_自检结果_v1_1.md,335,b9120a41f0a3a18c89ef020206041b5fa00f8386d1aad91f51f71e8893ce440f
11_KMFA_自检结果_v1_2.md,685,80b7718083206b3ba741baa2cd7504dbb9815778aef973cf0e76ec36ad6ecd12
12_KMFA_压缩包清单_SHA256_v1_1.csv,2618,b7ba5b74a77a3ee4ba42f8633126c90e2decc2f50220f69c99ee8c4fb25ecb49
20_HTML_UIUX_报告预览/00_HTML总入口_KMFA_v1_2.html,4818,b7fa56f3ead27c8542b91cdb7f310e59ec8b3a825fedd68c140485a7209d7089
20_HTML_UIUX_报告预览/01_核心HTML验收样板/KMFA_Resolution_Workbench_v0_4.html,4123,29938f0922a0af13f2ef79337978605ceb22f84c5fad79ce7a8a5c9ad1550029
20_HTML_UIUX_报告预览/01_核心HTML验收样板/KMFA_Ring5_Final_Task_Control_Board.html,4035,dada417f47d0710944fc0d3e7041ba16ad27cccccc395954711b6af99827dd9b
20_HTML_UIUX_报告预览/01_核心HTML验收样板/KMFA_数据源检查板_v0_5_blue.html,13292,0051854c10097e4e215ab0604edb9d5634a3788d1dc912560d5a3089715b4430
20_HTML_UIUX_报告预览/01_核心HTML验收样板/KMFA_系统首页预览_v4_blue.html,7380,48710cb067ad14acbed48e25c373113047f8b380bfd5d09049d5149f7d6849ad
20_HTML_UIUX_报告预览/01_核心HTML验收样板/KMFA_经营分析报告预览_v3_blue.html,10640,9f4bcf21a9d9c6bd758f583da8ab158d41a0969899592eeebfa1955dcae3bb22
20_HTML_UIUX_报告预览/01_核心HTML验收样板/KMFA_阶段三任务控制台预览_v1_0.html,2972,874a30f39ff8d3a768352d46572df396987788d5f11cb55a556801c622b225c5
20_HTML_UIUX_报告预览/01_核心HTML验收样板/KMFA_项目成本专题报告预览_v0_6_blue_zero_delta.html,6533,50ae7eaa079bf1b7d56a659c6d910c7793a7c00da4ceb3f1ee6b3796db9d67b5
20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_CxO_Dashboard_Preview.html,13722,8b7c37898d3bde3e5804b98f5df41961b01c019e03e0c532283b982172e251cc
20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v4__KMFA_Data_Source_Check_Board_v0_2.html,10426,136c724b6f8b505b19aca2a32014b3b6960b866bc6e56457119f634492961395
20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v4__KMFA_MVP_Data_Readiness_Board_v0_3.html,7796,48a0ac5709d13155f843fe15d7dbed28428279d5653a518186bc33c5ed77f1a0
20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v4__KMFA_Management_Report_Preview_v2.html,20113,280cf4bbb42421a7462cfaf3223bce24686712fff0ee75b4de87c281d18cac18
