source,inner_path,output_path,bytes,sha256
KMFA_Stage1_Closure_Pack_v4.zip,KMFA_System_Dashboard_v3.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v4__KMFA_System_Dashboard_v3.html,46275,4a4c82b0ea876db8145ce42285eb1a7d5b786d28275994bb60695e4fb5e17be3
KMFA_Stage1_Closure_Pack_v4.zip,KMFA_Management_Report_Preview_v2.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v4__KMFA_Management_Report_Preview_v2.html,20113,280cf4bbb42421a7462cfaf3223bce24686712fff0ee75b4de87c281d18cac18
KMFA_Stage1_Closure_Pack_v4.zip,KMFA_Data_Source_Check_Board_v0_2.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v4__KMFA_Data_Source_Check_Board_v0_2.html,10426,136c724b6f8b505b19aca2a32014b3b6960b866bc6e56457119f634492961395
KMFA_Stage1_Closure_Pack_v4.zip,KMFA_Project_Cost_Report_Preview_v0_1.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v4__KMFA_Project_Cost_Report_Preview_v0_1.html,8954,29676eb14b924e27d58c728c7c37ced5bbb5f410e7748662a6efd1e2a29e41c1
KMFA_Stage1_Closure_Pack_v4.zip,KMFA_MVP_Data_Readiness_Board_v0_3.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v4__KMFA_MVP_Data_Readiness_Board_v0_3.html,7796,48a0ac5709d13155f843fe15d7dbed28428279d5653a518186bc33c5ed77f1a0
KMFA_Stage1_Closure_Pack_v5_Quality_First_FINAL.zip,kmfa_stage1_v5_final/01_UIUX与报告预览/KMFA_数据源检查板_v0_5_blue.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v5_Quality_First_FINAL__kmfa_stage1_v5_final__01_UIUX与报告预览__KMFA_数据源检查板_v0_5_blue.html,13292,0051854c10097e4e215ab0604edb9d5634a3788d1dc912560d5a3089715b4430
KMFA_Stage1_Closure_Pack_v5_Quality_First_FINAL.zip,kmfa_stage1_v5_final/01_UIUX与报告预览/KMFA_系统首页预览_v4_blue.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v5_Quality_First_FINAL__kmfa_stage1_v5_final__01_UIUX与报告预览__KMFA_系统首页预览_v4_blue.html,7380,48710cb067ad14acbed48e25c373113047f8b380bfd5d09049d5149f7d6849ad
KMFA_Stage1_Closure_Pack_v5_Quality_First_FINAL.zip,kmfa_stage1_v5_final/01_UIUX与报告预览/KMFA_经营分析报告预览_v3_blue.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v5_Quality_First_FINAL__kmfa_stage1_v5_final__01_UIUX与报告预览__KMFA_经营分析报告预览_v3_blue.html,10640,9f4bcf21a9d9c6bd758f583da8ab158d41a0969899592eeebfa1955dcae3bb22
KMFA_Stage1_Closure_Pack_v5_Quality_First_FINAL.zip,kmfa_stage1_v5_final/01_UIUX与报告预览/KMFA_项目成本专题报告预览_v0_2_blue.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v5_Quality_First_FINAL__kmfa_stage1_v5_final__01_UIUX与报告预览__KMFA_项目成本专题报告预览_v0_2_blue.html,13949,c97d2ce2f7ca38a826fdd02f15211939c77d3cec675049432682a607bc7463c6
KMFA_Stage1_Closure_Pack_v5_Quality_First_FINAL.zip,kmfa_stage1_v5_final/index.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v5_Quality_First_FINAL__kmfa_stage1_v5_final__index.html,2120,0aa9e880c8ae5bfadcd596793579a6c7420bd6c89ecb077f478aef24392d527d
KMFA_Stage1_Closure_Pack_v6_ZERO_DELTA_QUALITY_FINAL.zip,kmfa_stage1_v6_final/01_UIUX与报告预览/KMFA_数据源检查板_v0_5_blue.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v6_ZERO_DELTA_QUALITY_FINAL__kmfa_stage1_v6_final__01_UIUX与报告预览__KMFA_数据源检查板_v0_5_blue.html,13292,0051854c10097e4e215ab0604edb9d5634a3788d1dc912560d5a3089715b4430
KMFA_Stage1_Closure_Pack_v6_ZERO_DELTA_QUALITY_FINAL.zip,kmfa_stage1_v6_final/01_UIUX与报告预览/KMFA_系统首页预览_v4_blue.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v6_ZERO_DELTA_QUALITY_FINAL__kmfa_stage1_v6_final__01_UIUX与报告预览__KMFA_系统首页预览_v4_blue.html,7380,48710cb067ad14acbed48e25c373113047f8b380bfd5d09049d5149f7d6849ad
