file,bytes,sha256
KMFA_ChatGPT_Stage3_Codex_Delivery_Pack_v1_1_18Stages.zip,46380,647adacf89f9dd0f15ac61ac703193e20c9d13c7762008487f5cd026fb4f9a69
KMFA_Stage1_Closure_Pack_v4.zip,69836,694ceb51c3926d26c16615959c6baa584d7b92bf4f8902bc661d5cbad097dcc8
KMFA_Stage1_Closure_Pack_v5_Quality_First_FINAL.zip,93161,ba8f4427a653a260c165ccbac1280536422f6c2af91afa37c1a0679d2492c2df
KMFA_Stage1_Closure_Pack_v6_ZERO_DELTA_QUALITY_FINAL.zip,119913,aed311827c12aac0f5feb0105b635c9f469aa70da4599d2b3e05a06c72276861
KMFA_Stage1_Preview_Pack_v2.zip,40758,ee21aeac47f3e7ab675d2e50971d4cd7bcc851dba45fc1cac487a93bd6ced72e
KMFA_Stage1_Preview_Pack_v3.zip,46618,97057220bd587c422e5329c56ec7cd8e5f864c72fff012e1fab0ae52d67d7cb0
KMFA_Stage2_Kickoff_Pack_v1_ZERO_DELTA_BASELINE.zip,37349,efb4084942c4a4e7752d3a0db2b646969205817dd6e2c96694ed8c1f71914424
KMFA_Stage2_Ring2_Reverse_Benchmark_Research_Pack_v0_1.zip,32746,a271afad6511cf5ab6ae423e970af1de7e957e86b2d1e55b09424455700b9f26
KMFA_Stage2_Ring3_TaskPack_Control_Pack_v0_1.zip,118640,1b85811d5024aa0cdc1cce811da73d612659c67da05be449b162cf4367e82ddb
KMFA_Stage2_Ring4_A0_Golden_Baseline_ZERO_DELTA_Pack_v0_6.zip,1220095,12543650ebdb13157c6d051291ad50043b0d8da0682ab3b2a66eab4683880b6a
KMFA_Stage2_Ring5_Final_Codex_TaskPack_QUALITY_FIRST_v0_9.zip,1532892,db9c2da749af8e3c252d2f360dc2655bf97b74cb09ec901860fa375cb6becef5
KMFA_Stage3_Codex_Execution_Pack_v1_0_QUALITY_LOCKED.zip,80134,b3fe3fa582d6f6797fbe821188665c96d07f6da70ba95ca86b809f7340962992
