排序,平台名称,所属,行业,类别,网址,列表页URL,免登录看列表,需注册供应商,反爬,每天维修类公告估计,估计方法,证据URL,证据级别,核查状态,备注
1,中国招标投标公共服务平台,国家发改委,综合,公开招标门户,http://www.cebpubservice.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://www.cebpubservice.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
2,中国政府采购网,财政部,综合,公开招标门户,https://www.ccgp.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.ccgp.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
3,中国采购与招标网,中国经济信息社/新华社系统,综合,公开招标门户,https://www.e-bidding.org/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.e-bidding.org/cms/china_bidding/search/otherList.html?dates=300&categoryId=107&page=1,二手（未原样核）,网址来自搜索结果；可访问性没查,另有相似名 chinabidding.com.cn，未打开核实是否为同一平台
4,全国公共资源交易平台,国家发改委,综合,公开招标门户,https://www.ggzy.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.ggzy.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
5,必联网,中国建设银行/必联电子商务,综合,公开招标门户,https://www.ebnew.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.ebnew.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
6,云南省公共资源交易中心,云南省,综合,省ggzy,https://www.ynggzy.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.ynggzy.com/,二手（未原样核）,网址来自搜索结果；可访问性没查,域名非 gov.cn；另有政府域名 ggzy.yn.gov.cn 云南省公共资源交易信息网/平台，未打开核实两者关系
7,兵团公共资源交易平台,新疆生产建设兵团,综合,省ggzy,http://ggzy.xjbt.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://ggzy.xjbt.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
8,内蒙古自治区公共资源交易网,内蒙古自治区,综合,省ggzy,https://ggzyjy.nmg.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzyjy.nmg.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
9,北京市公共资源交易服务平台,北京市,综合,省ggzy,https://ggzyfw.beijing.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzyfw.beijing.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
10,吉林省公共资源交易中心,吉林省,综合,省ggzy,http://www.ggzyzx.jl.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://www.ggzyzx.jl.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
11,四川省公共资源交易信息网,四川省,综合,省ggzy,https://ggzyjy.sc.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzyjy.sc.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
12,天津市公共资源交易平台,天津市,综合,省ggzy,http://ggzy.zwfwb.tj.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://ggzy.zwfwb.tj.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
13,宁夏回族自治区公共资源交易网,宁夏回族自治区,综合,省ggzy,https://ggzyjy.fzggw.nx.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzyjy.fzggw.nx.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
14,山东省公共资源交易中心,山东省,综合,省ggzy,https://ggzyjyzx.shandong.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzyjyzx.shandong.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,另有 http://ggzyjy.shandong.gov.cn/ 山东省公共资源交易网，未打开核实两者关系
15,山西省公共资源交易平台,山西省,综合,省ggzy,https://prec.sxzwfw.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://prec.sxzwfw.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
16,广西壮族自治区公共资源交易中心网站,广西壮族自治区,综合,省ggzy,http://gxggzy.gxzf.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://gxggzy.gxzf.gov.cn/fwdt/bszn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
17,新疆公共资源交易网,新疆维吾尔自治区,综合,省ggzy,https://ggzy.xinjiang.gov.cn/xinjiangggzy/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzy.xinjiang.gov.cn/xinjiangggzy/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
18,江苏省公共资源交易网,江苏省,综合,省ggzy,http://jsggzy.jszwfw.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://jsggzy.jszwfw.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
