省份,地区级别,类型,工种,单位,价格,纳入比较,口径,发布日期,来源URL,来源类型,一手二手,证据等级,原文摘录
湖北,省级,定额官方,普工(2018版定额),元/工日,104,是,未说明；2024版定额起改为人工费单列+季度指数,2022-01-01起执行,https://zjt.hubei.gov.cn/zfxxgk/zc/qtzdgkwj/202201/t20220104_3950134.shtml,官方,一手,搜索摘要-未开原文,普工104元/工日
湖北,省级,定额官方,技工(2018版定额),元/工日,160,是,未说明,2022-01-01起执行,https://zjt.hubei.gov.cn/zfxxgk/zc/qtzdgkwj/202201/t20220104_3950134.shtml,官方,一手,搜索摘要-未开原文,技工160元/工日
湖北,省级,定额官方,高级技工(2018版定额),元/工日,241,是,未说明,2022-01-01起执行,https://zjt.hubei.gov.cn/zfxxgk/zc/qtzdgkwj/202201/t20220104_3950134.shtml,官方,一手,搜索摘要-未开原文,高级技工241元/工日
江西,省级,定额官方,建筑/安装/市政综合工日(2017版定额),元/工日,100,否,未说明；已被2026-03-01施行新文件取代，新值未查到；来源条目存疑,2020-12-20起执行,https://zjt.jiangxi.gov.cn/jxszfhcxjst/wjtz/pc/content/content_2006185954536067072.html,官方,一手,搜索摘要-未开原文,建筑、安装、市政工程定额综合工日单价调整为100元/工日
江西,省级,定额官方,装饰综合工日(2017版定额),元/工日,117,否,已被2026-03-01施行新文件取代；来源条目存疑,2020-12-20起执行,https://zjt.jiangxi.gov.cn/jxszfhcxjst/wjtz/pc/content/content_2006185954536067072.html,官方,一手,搜索摘要-未开原文,装饰工程定额综合工日单价调整为117元/工日
江苏,省级,定额官方,人工价格指数(各设区市),指数,1.00,否,环比指数(基期2025下半年=1)；绝对单价沿用苏建函价〔2023〕391号，数值未查到,2026上半年(苏建函价〔2026〕27号),https://jsszfhcxjst.jiangsu.gov.cn/art/2026/2/27/art_49384_11733341.html,官方,一手,搜索摘要-未开原文,2026年上半年全省各设区市建设工程人工价格指数均为1.00
安徽,省级,定额官方,公路工程人工工日单价(交通口径非建安),元/工日,132.62,否,由105.56调至132.62；交通口径,2025-09,http://ah.people.com.cn/n2/2025/0911/c358428-41347979.html,非官方,二手,搜索摘要-未开原文,标准由105.56元/工日调整为132.62元/工日
广东,市级(广州),市场劳务官方,电焊工,元/工日,290-360,是,含工资性收入/社保/公积金/工会经费/教育经费/福利费；不含管理费/利润/税金；8小时=1工日（据穗建造价〔2026〕65号摘要）,2026-01(穗建造价〔2026〕14号),https://zfcj.gz.gov.cn/attachment/7/7974/7974845/10692163.pdf,官方,一手,搜索摘要-未开原文,2026年1月：290-360
广东,市级(广州),市场劳务官方,电焊工,元/工日,290-360,是,含工资性收入/社保/公积金/工会经费/教育经费/福利费；不含管理费/利润/税金；8小时=1工日（据穗建造价〔2026〕65号摘要）,2026-02(穗建造价〔2026〕26号),https://zfcj.gz.gov.cn/attachment/7/7988/7988730/10727246.pdf,官方,一手,搜索摘要-未开原文,2026年2月：290-360
广东,市级(广州),市场劳务官方,电焊工,元/工日,290-365,是,含工资性收入/社保/公积金/工会经费/教育经费/福利费；不含管理费/利润/税金；8小时=1工日（据穗建造价〔2026〕65号摘要）,2026-03(穗建造价〔2026〕41号),https://zfcj.gz.gov.cn/attachment/8/8007/8007381/10776680.pdf,官方,一手,搜索摘要-未开原文,2026年3月：290-365
