类别,公告标题,日期,URL,来源类型,是否在近60天窗口,金额原文,资质原文
皮带机/输送机维修,焦化二厂备煤系统维护服务公开招标项目招标公告（含43条环形裙边皮带、117条聚酯阻燃耐热皮带更换修补，电机/减速机检修）,2026-07-23(URL路径),http://www.chnenergybidding.com.cn/bidweb/001/001002/001002003/20260723/d9bd865e-3f22-4d70-9d0e-a19cab5f71e8.html,官方平台(国能e招),否(早于窗口2天),未查到,未查到
皮带机/输送机维修,唐山首钢京唐西山焦化有限责任公司检修-干熄焦皮带通廊底板更换询比采购公告,2026-05-20(摘要),https://www.qianlima.com/bid-598656714.html,聚合站,否,未查到,未查到
皮带机/输送机维修,山西煤炭运销集团晋城泽州有限公司2026年8月皮带输送机减速器维修所需物资采购（第二次发询）,2026-09-09(摘要；第二次询价),https://www.qianlima.com/gjxx/172302_2703_4,聚合站列表页(URL对应存疑)；复审注：标题为「所需物资采购」，偏物资采购非维修服务,是,未查到,未查到
皮带机/输送机维修,中煤华昱公司金龙输煤专线及元南支线皮带机输送系统运营服务招标（13条皮带机）,日期不明,https://www.zmzb.com/cms/channel/ywgg1fw/55133.htm,官方平台(中煤招标;URL对应存疑),日期不明,未查到,未查到
钢结构制作安装,中国化学六化建山东分公司 山东蓝湾新材料20万吨/年丙烯酸(二期)土建安装工程—钢结构安装工程 成交公告,2026-09-03(摘要),https://bid.cncecyc.com/cms/channel/ywgg4gc/559361.htm,官方平台(中国化学;URL由复审补),是,未查到,未查到
钢结构制作安装,太钢不锈招标：自筹资金建构筑物检测加固,日期不明,https://www.sohu.com/a/1078420859_122014422,媒体转载,日期不明,未查到,未查到
钢结构制作安装,招标公告-浦林成山非公路轮胎项目-钢结构,日期不明,https://prinxchengshan.com/index.php/index.php?id=5815,企业官网,日期不明,未查到,未查到
工业管道安装,2026年包钢股份压力管道项目-稀土钢炼铁厂、长材厂、煤焦化工分公司、薄板厂8项标段3公开招标公告,约2026-05底(摘要),https://nmg.qianlima.com/zbcontent-599971332.html,聚合站,否,未查到(需登录),未查到
工业管道安装,广东粤电博贺能源有限公司#1、2机组供热改造（施工）招标公告,日期不明,https://m.ccement.com/xm/bcon-422917325634983.html,聚合站,日期不明,未查到,特种设备生产许可证，许可范围包含工业管道安装（GCD和GC2及以上）
工业管道安装,光谷热力公司化工区湖北晟特新能源热网改造项目采购公告,日期不明,https://eps.ctg.com.cn/cms/channel/2ywgg1/16134.htm,官方平台(三峡),日期不明,未查到,压力管道GB2或GC2及以上安装改造维修许可/工业管道安装生产许可（摘要未逐条对应此URL）
工业管道安装,丹东华润燃气2026-2029年度常规工程燃气工程施工单位采购项目,2026-07-24(URL路径),https://www.yfbzb.com/inviteBid/detail/20260724_616609528.html,聚合站,否,未查到,工业管道安装GC2级及以上
设备年度维保(包干),湛江中粤能源有限公司2026年度#1、#2机组本体系统及附属设备常规维护招标公告,日期不明,http://gdguofeng.com.cn/nd.jsp?id=1451,代理机构官网,日期不明,未查到,未查到
设备年度维保(包干),关于浙江乌沙山发电公司2026-2028年度3、4号机组设备设施及部分公用系统运维(标段二)项目招标公告,2025-11-14(URL路径),http://www.dlzb.org/news/202511/14/460681.html,聚合站,否,未查到,未查到
设备年度维保(包干),河间华北石油天成燃气有限公司2026-2027年度检维修及应急抢修服务框架,日期不明,https://hb.qianlima.com/zbcontent-617724097.html,聚合站,日期不明,未查到,未查到
设备年度维保(包干),2026年1月维检修——招标3招标公告,2026-02-05(URL路径),https://www.ggzy.gov.cn/information/deal/html/b/0067/0101/20260205/00670b28628d1dc44d33992c558dff6bca32.html,官方平台(全国公共资源交易平台),否,未查到,未查到
除尘器/收尘改造,漳县公司1#水泥窑窑头电收尘器维修采购项目,2026-05-09(摘要),https://gansu.zhaobiao.cn/bidding_v_29b37244f15b5e6f43f12296984ec630.html,聚合站,否,未查到,未查到
除尘器/收尘改造,广东省粤电集团有限公司珠海电厂1号…（加装板式湿式电除尘器）招标公告,日期不明,https://zb.cnscee.com/tenderDetail.html/18a7c3684bd5423ab0feb112170662ea,招标平台,日期不明,未查到,未查到
除尘器/收尘改造,除尘改造工程设备安装施工中标候选人公示,日期不明,https://zb.cnscee.com/constructionDetail.html/4421fcb7a53d445db3d40c68c1cddba0?subType=5,招标平台,日期不明,未查到,未查到
除尘器/收尘改造,乌海包钢矿业2026年度机械备件（除尘器）框架竞价采购（响应供应商不足3家，终止）,日期不明,https://industry.qianlima.com/industry/594-18,聚合站列表页(URL对应存疑),日期不明,未查到,未查到
阀门泵类检修,辽宁锦城石化下属盘锦浩业化工2026年装置大检修—阀门维修项目公开招标（923台工艺阀门+19台特阀）,2026-01-21(URL路径),http://www.zgdczb.com/news/202601/21/612037.html,聚合站,否,未查到,未查到
阀门泵类检修,宁东二期2026年阀门检修技术服务公开招标项目招标公告,2026-02-12(URL路径),http://www.chnenergybidding.com.cn/bidweb/001/001002/001002003/20260212/45d67678-351f-4067-8bcf-c625d0c5e865.html,官方平台(国能e招),否,未查到,未查到
阀门泵类检修,湖北区域机泵类设备年度维修服务竞争性谈判公告（变更）,日期不明,https://zcpt.citicenvirotech.com/,官方平台首页(中信环境),日期不明,未查到,未查到
阀门泵类检修,工艺阀门研磨维修框架二次招标公告（计划检修311台）,2025-02-21(URL路径),https://www.yfbzb.com/inviteBid/detail/20250221_486318079.html,聚合站,否,未查到,未查到
起重设备维修,廉江水泥-桥式起重机、电动葫芦维修保养 公开询比公告,2026-08-04(摘要),未返回独立URL,聚合站；复审重搜未能复现,是,未查到,未查到
起重设备维修,宁夏煤业煤制油化工板块起重机械维保服务公开招标（CEZB260406975）中标候选人公示,2026-09-22(摘要),https://www.chnenergybidding.com.cn/bidweb/,官方平台首页(国能e招),是,未查到,未查到
起重设备维修,2026年度起重机械外协维护维修承揽业务询比价采购,2026-06-21(摘要；06-29二次挂网),https://jxic.jczh.com/notice/379398,官方平台(江投集团),否,年修理费约40万元（摘要）,需提供国家颁发的起重机械（特种设备）保养、维修、改造的相关资质
起重设备维修,广州市花都排水有限公司2026-2028年起重设备定期维护保养和年检服务,2026-05-21(URL路径),https://www.gzsun.com.cn/cgdt/001002/001002001/20260521/c41b4375-6bb4-434f-a36a-f7d18fa3194d.html,官方平台(国企),否,未查到,特种设备生产许可证：起重机械制造（含安装、修理、改造）或起重机械安装（含修理），B级或以上
起重设备维修,【信息发布】中部陆港起重机械设备日常维检服务询价文件,2026-07-08(URL路径),https://www.qianlima.com/zb/detail/20260708_612300866.html,聚合站,否,未查到,未查到
起重设备维修,【山西天地煤机】彩虹基地起重设备维护保养服务公开询价项目,日期不明,https://cg.ccteg.cn/cms/channel/ywgg2fw/66685.htm,官方平台(中国煤科),日期不明,未查到,未查到
耐磨防腐,[公开招标]万华化学（福建）码头有限公司2026-2028年日常、大修、技改防腐绝热安装,2026-07-22(URL路径),https://ebidding.whchem.com/jyxx/001001/20260722/bfe5c490-81cc-4abc-a4c9-179094f21751.html,官方平台(企业),否(早于窗口3天),一年施工费用预估为200万元（摘要）,未查到
耐磨防腐,东华科技招标：营口项目防腐保温标段等多项目成交信息公布,2026-07-14,https://finance.sina.com.cn/stock/aigc/zab/2026-07-14/doc-inihtrnn5303372.shtml,媒体转载,否,未查到,未查到
耐磨防腐,2号机组维修脚手架、防腐保温外委项目）重新招标（二次）（青海桥头发电）,2026-06-11(URL路径),https://www.ggzy.gov.cn/information/deal/html/b/0067/0101/20260611/006770491f50a1e64804b5144bf0c637f9e2.html,官方平台,否,未查到,未查到
耐磨防腐,葛洲坝嘉鱼公司2026年至2027年度耐磨涂料、耐磨陶瓷招标公告（材料采购）,日期不明,https://www.460.net.cn/news/show-280752.html,聚合站,日期不明,未查到,未查到
耐磨防腐,中煤鄂尔多斯能源化工有限公司中煤远兴全厂防腐保温及脚手架…,日期不明,https://www.zmzb.com/cms/channel/ywgg1gc/58860.htm,官方平台(中煤招标),日期不明,未查到,未查到
锅炉辅机检修,锅炉辅机设备外修服务询价公告,2026-02-06(URL路径),https://m.yfbzb.com/inviteBid/detail/20260206_575807479.html,聚合站,否,未查到,业绩：至少1份单机600MW及以上燃煤机组锅炉辅机修理合同（须含风机、空预器、磨煤机至少一种）
锅炉辅机检修,宁夏电力宁东公司2026年锅炉炉膛检修平台治理公开招标项目招标公告（CEZB260408141）,2026-09-21(摘要),https://www.chnenergybidding.com.cn/bidweb/,官方平台首页(国能e招),是,未查到,未查到
锅炉辅机检修,宣城电厂2026年度#1、#2机组C级检修项目招标公告（含锅炉/除尘/除灰/脱硝/脱硫）,日期不明,https://www.zmzb.com/cms/channel/ywgg1fw/57852.htm,官方平台(中煤招标),日期不明,未查到,未查到
锅炉辅机检修,中煤昔阳能源有限责任公司安平发电厂1号机组A级检修服务（工期2026-09-01至10-18）,日期不明,https://www.zmzb.com/cms/channel/ywgg1fw/59358.htm,官方平台(中煤招标),日期不明,未查到,未查到
风机检修,福建公司下属火电企业2026-2028年度锅炉六大风机转子组检修（石狮电厂12台）,日期不明,未能确认对应URL,聚合/官方(存疑),日期不明,未查到,未查到
风机检修,拜城县众泰煤焦化有限公司循环风机偶合器和除尘风机偶合器检修项目采购公告,日期不明,https://www.qianlima.com/bid-596637712.html,聚合站,日期不明,未查到,未查到
风机检修,引风机检修招标采购（列表页）,日期不明,http://m.gdtzb.com/zb/kw-yinfengjijianxiu.html,聚合站列表页,日期不明,未查到,未查到
电机维修,2026年6月-良田水泥-2026-2027年度低压电机委外维修服务项目公开询比公告,2026-06,https://ez.chinamae.com/news/1164b2366fb796415a589554241f4aab.html,聚合站,否,未查到,低压电机维修资质（含普通电机与永磁电机）
电机维修,2025-2026年度普通电机外协施工比询价采购公告（第二次挂网）（江西晶昊）,日期不明,https://www.jxgqcg.com/notice/102430,官方平台(江西省国企采购),日期不明,未查到,未查到；另：质量保证金2万元(非项目金额)、大修后两遍真空浸漆+预防性试验报告、24小时进场
电机维修,2026年电动机修理年度维保2025120008采购公告,日期不明,https://bbda.com/bidDetail/78702a02e90be547d72de644ba58825ced662f2736a885536db67ed727b61a42.html,聚合站,日期不明,未查到,未查到
电机维修,2026年神东煤炭设备维修中心电磁线加工服务项目招标公告（电机修理配套）,2026-03-17(URL路径),http://www.dlzb.org/news/202603/17/522408.html,聚合站,否,投资估算579.488万元,未查到
机加工外协,铁路装备陕西公司2026年委外加工制作设备大修非标配件公开招标（CEZB260107486）,2026-08-31(URL路径),https://www.chnenergybidding.com.cn/bidweb/001/001002/001002003/20260831/aec952c7-c188-4868-8781-23b37d87439d.html,官方平台(国能e招),是,未查到,未查到
机加工外协,新余新钢板材加工有限公司设备机加工备件承包（年标）招标公告（第二次）,日期不明,https://xin-steel.jczh.com/notice/291830,官方平台(新钢),日期不明,未查到,未查到
机加工外协,江西晶昊盐化有限公司2026年度配件加工及维修承揽业务询比价采购公告,日期不明,https://jxic.jczh.com/notice/293677,官方平台(江投),日期不明,未查到,未查到
机加工外协,普通金加工件新增（2026-11）年度采购项目招标（四川大西洋焊接材料）,日期不明,https://www.weldatlantic.com/wdoc_31087543.html,企业官网,日期不明,未查到,未查到
[补]液压系统检修,辛集市澳森特钢集团有限公司炼钢液压泵维修采购公告（完工期2026-06-30）,2026上半年(推断),https://hb.zhiliaobiaoxun.com/article/103267315,聚合站,否,未查到,未查到
[补]液压系统检修,2026年度其它液压元件第九批采购公告（元件采购，非维修）,2026-07-14,https://bid.ansteel.cn/zbjjxx/001001/20260714/5cfb4b32-6d16-4c02-9f42-e4548619402f.html,官方平台(鞍钢),否,未查到,未查到
[补]窑炉耐火砌筑,金隅集团阳泉区域2026年窑炉砌筑(耐火材料)施工招标,日期不明,http://m.youcaiyun.com/PurchaseDetail.aspx?BidId=1448188,聚合站,日期不明,未查到,未查到
[补]窑炉耐火砌筑,中铝山东新材料有限公司熟料窑、高温窑砌筑,2025-04-27(URL路径),https://zb.chinalco.com.cn/zbxx/001003/001003002/20250427/97e0abba-a55f-4601-9252-7703c0c08d70.html,官方平台(中铝),否,未查到,未查到
[补]破碎机维修,鞍钢联众2026年颚式破碎机项目招标公告（设备采购）,2026-05-28(摘要),https://www.gcjxzhaobiao.com/news-3a7440677cc9c8f3a76f306e4b669b5d/,聚合站,否,未查到,未查到
[补]脱硫脱硝检修,脱硝招标（列表页，摘要提到米东天山水泥窑尾烟气SCR脱硝工程流标）,日期不明,http://industry.qianlima.com/industry/505976-2703,聚合站列表页(URL对应存疑),日期不明,未查到,未查到
