类别,样例URL1,样例URL2,样例URL3,每工作日估计条数,怎么数的,"窗口内搜索可见条数(2026-07-25~09-23,43个工作日)",金额档,常见资质要求(样例原文中出现),常见资质要求(常识推断-未核实),统计噪声提醒,证据等级
皮带机/输送机维修,http://www.chnenergybidding.com.cn/bidweb/001/001002/001002003/20260723/d9bd865e-3f22-4d70-9d0e-a19cab5f71e8.html,https://www.qianlima.com/bid-598656714.html,https://www.zmzb.com/cms/channel/ywgg1fw/55133.htm,数不出来（搜索可见下限 1/43≈0.02）,数不出来：云端网络只能用搜索引擎，打不开招标平台，无法按日期筛选计数。给出的是搜索可见条数/43，只是下限；实际量可能大1-2个数量级，但无证据。真实计数用 tender_volume.py 喂平台导出清单,1,未查到,未查到,营业执照、安全生产类证件；煤矿场景需矿用安全要求,大量命中皮带/托辊备件采购，非维修服务,搜索结果标题+URL（一手来源，但未打开原文）；金额/资质为搜索摘要
钢结构制作安装,https://www.sohu.com/a/1078420859_122014422,https://prinxchengshan.com/index.php/index.php?id=5815,https://bid.cncecyc.com/（首页，公告为09-03成交）,数不出来（搜索可见下限 1/43≈0.02）,数不出来：云端网络只能用搜索引擎，打不开招标平台，无法按日期筛选计数。给出的是搜索可见条数/43，只是下限；实际量可能大1-2个数量级，但无证据。真实计数用 tender_volume.py 喂平台导出清单,1,未查到,未查到,钢结构工程专业承包资质、安全生产许可证、焊工证,大量命中建筑类钢结构，需按行业过滤,搜索结果标题+URL（一手来源，但未打开原文）；金额/资质为搜索摘要
工业管道安装,https://m.ccement.com/xm/bcon-422917325634983.html,https://eps.ctg.com.cn/cms/channel/2ywgg1/16134.htm,https://www.yfbzb.com/inviteBid/detail/20260724_616609528.html,数不出来（搜索可见下限 0）,数不出来：云端网络只能用搜索引擎，打不开招标平台，无法按日期筛选计数。给出的是搜索可见条数/43，只是下限；实际量可能大1-2个数量级，但无证据。真实计数用 tender_volume.py 喂平台导出清单,0,未查到,特种设备生产许可证-工业管道安装 GC2/GCD 及以上；压力管道 GB2（3条样例提及，1条摘要对应存疑）,GC1 用于石化高危介质,含燃气/热网市政工程,搜索结果标题+URL（一手来源，但未打开原文）；金额/资质为搜索摘要
设备年度维保(包干),http://gdguofeng.com.cn/nd.jsp?id=1451,http://www.dlzb.org/news/202511/14/460681.html,https://hb.qianlima.com/zbcontent-617724097.html,数不出来（搜索可见下限 0）,数不出来：云端网络只能用搜索引擎，打不开招标平台，无法按日期筛选计数。给出的是搜索可见条数/43，只是下限；实际量可能大1-2个数量级，但无证据。真实计数用 tender_volume.py 喂平台导出清单,0,未查到,未查到,机电工程施工总承包等，按项目定,电厂运维包多为大包，规模可能超出中型企业,搜索结果标题+URL（一手来源，但未打开原文）；金额/资质为搜索摘要
除尘器/收尘改造,https://gansu.zhaobiao.cn/bidding_v_29b37244f15b5e6f43f12296984ec630.html,https://zb.cnscee.com/tenderDetail.html/18a7c3684bd5423ab0feb112170662ea,https://zb.cnscee.com/constructionDetail.html/4421fcb7a53d445db3d40c68c1cddba0?subType=5,数不出来（搜索可见下限 0）,数不出来：云端网络只能用搜索引擎，打不开招标平台，无法按日期筛选计数。给出的是搜索可见条数/43，只是下限；实际量可能大1-2个数量级，但无证据。真实计数用 tender_volume.py 喂平台导出清单,0,未查到（唯一金额 165.2 万元是除尘变压器备件成交，非改造，且URL对应存疑）,未查到,环保工程专业承包资质,大量命中除尘器备件采购,搜索结果标题+URL（一手来源，但未打开原文）；金额/资质为搜索摘要
阀门泵类检修,http://www.zgdczb.com/news/202601/21/612037.html,http://www.chnenergybidding.com.cn/bidweb/001/001002/001002003/20260212/45d67678-351f-4067-8bcf-c625d0c5e865.html,https://www.yfbzb.com/inviteBid/detail/20250221_486318079.html,数不出来（搜索可见下限 0）,数不出来：云端网络只能用搜索引擎，打不开招标平台，无法按日期筛选计数。给出的是搜索可见条数/43，只是下限；实际量可能大1-2个数量级，但无证据。真实计数用 tender_volume.py 喂平台导出清单,0,未查到,未查到,压力管道元件相关许可、安全阀校验资质,窗口内可见3条均为阀门采购，非检修,搜索结果标题+URL（一手来源，但未打开原文）；金额/资质为搜索摘要
起重设备维修,https://jxic.jczh.com/notice/379398,https://www.gzsun.com.cn/cgdt/001002/001002001/20260521/c41b4375-6bb4-434f-a36a-f7d18fa3194d.html,https://cg.ccteg.cn/cms/channel/ywgg2fw/66685.htm,数不出来（搜索可见下限 2/43≈0.05）,数不出来：云端网络只能用搜索引擎，打不开招标平台，无法按日期筛选计数。给出的是搜索可见条数/43，只是下限；实际量可能大1-2个数量级，但无证据。真实计数用 tender_volume.py 喂平台导出清单,2,未查到,特种设备生产许可-起重机械安装（含修理）/修理改造，B级或以上（2条样例）,起重机械作业人员证,,搜索结果标题+URL（一手来源，但未打开原文）；金额/资质为搜索摘要
耐磨防腐,https://ebidding.whchem.com/jyxx/001001/20260722/bfe5c490-81cc-4abc-a4c9-179094f21751.html,https://www.ggzy.gov.cn/information/deal/html/b/0067/0101/20260611/006770491f50a1e64804b5144bf0c637f9e2.html,https://www.zmzb.com/cms/channel/ywgg1gc/58860.htm,数不出来（搜索可见下限 0）,数不出来：云端网络只能用搜索引擎，打不开招标平台，无法按日期筛选计数。给出的是搜索可见条数/43，只是下限；实际量可能大1-2个数量级，但无证据。真实计数用 tender_volume.py 喂平台导出清单,0,50-200万档（仅1个样本：万华码头防腐绝热一年施工费预估200万元，摘要）,未查到,防水防腐保温工程专业承包资质、高处作业证,大量命中建筑防水防腐；耐磨多为材料采购,搜索结果标题+URL（一手来源，但未打开原文）；金额/资质为搜索摘要
机加工外协,https://www.chnenergybidding.com.cn/bidweb/001/001002/001002003/20260831/aec952c7-c188-4868-8781-23b37d87439d.html,https://xin-steel.jczh.com/notice/291830,https://jxic.jczh.com/notice/293677,数不出来（搜索可见下限 1/43≈0.02）,数不出来：云端网络只能用搜索引擎，打不开招标平台，无法按日期筛选计数。给出的是搜索可见条数/43，只是下限；实际量可能大1-2个数量级，但无证据。真实计数用 tender_volume.py 喂平台导出清单,1,未查到,未查到,通常营业执照+业绩,,搜索结果标题+URL（一手来源，但未打开原文）；金额/资质为搜索摘要
锅炉辅机检修,https://m.yfbzb.com/inviteBid/detail/20260206_575807479.html,https://www.zmzb.com/cms/channel/ywgg1fw/57852.htm,https://www.zmzb.com/cms/channel/ywgg1fw/59358.htm,数不出来（搜索可见下限 1/43≈0.02）,数不出来：云端网络只能用搜索引擎，打不开招标平台，无法按日期筛选计数。给出的是搜索可见条数/43，只是下限；实际量可能大1-2个数量级，但无证据。真实计数用 tender_volume.py 喂平台导出清单,1,未查到,业绩门槛：至少1份单机600MW及以上燃煤机组锅炉辅机修理合同（1条样例）,锅炉修理许可/承装（修、试）许可视范围而定,电厂业绩门槛高,搜索结果标题+URL（一手来源，但未打开原文）；金额/资质为搜索摘要
