requirement_id,model_id,assumption_id,formula_id,parameter_id,task_id,acceptance_id,code_ref,config_ref,test_ref,evidence_ref,status
REQ-WHKM-SALARY-001,MOD-001,ASM-002,FORM-009,PARAM-001,TASK-WHKM-A-002,ACC-WHKM-A-002,whkmSalary/salary_logic.py:12,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,whkmSalary/docs/governance/parameter_registry.csv,active
REQ-WHKM-SALARY-001,MOD-001,ASM-002,FORM-009,PARAM-002,TASK-WHKM-A-002,ACC-WHKM-A-002,whkmSalary/salary_logic.py:13,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,whkmSalary/docs/governance/parameter_registry.csv,active
REQ-WHKM-SALARY-001,MOD-001,ASM-002,FORM-009,PARAM-003,TASK-WHKM-A-002,ACC-WHKM-A-002,whkmSalary/salary_logic.py:145,whkmSalary/streamlit_app.py:53,FOCUSED: salary_logic.calculate fixture,whkmSalary/docs/governance/parameter_registry.csv,active
REQ-WHKM-SALARY-001,MOD-001,ASM-002,FORM-009,PARAM-004,TASK-WHKM-A-002,ACC-WHKM-A-002,whkmSalary/salary_logic.py:147,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,whkmSalary/docs/governance/parameter_registry.csv,active
REQ-WHKM-SALARY-001,MOD-001,ASM-002,FORM-009,PARAM-005,TASK-WHKM-A-002,ACC-WHKM-A-002,whkmSalary/salary_logic.py:149,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,whkmSalary/docs/governance/parameter_registry.csv,active
REQ-WHKM-BOUNDARY-001,MOD-001,ASM-002,FORM-004,PARAM-023,S3PAT01,ACC-S3PAT01-WHKM-BOUNDARY,whkmSalary/salary_logic.py:80,NOT_APPLICABLE,python -B -m unittest discover -s whkmSalary/tests -q,governance/stage_gates/s3pa/whkm_boundary_tests.log,active
REQ-WHKM-BOUNDARY-001,MOD-001,ASM-002,FORM-005,PARAM-028,S3PAT01,ACC-S3PAT01-WHKM-BOUNDARY,whkmSalary/salary_logic.py:92,NOT_APPLICABLE,python -B -m unittest discover -s whkmSalary/tests -q,governance/stage_gates/s3pa/whkm_boundary_tests.log,active
REQ-WHKM-BOUNDARY-001,MOD-001,ASM-002,FORM-006,PARAM-031,S3PAT01,ACC-S3PAT01-WHKM-BOUNDARY,whkmSalary/salary_logic.py:106,NOT_APPLICABLE,python -B -m unittest discover -s whkmSalary/tests -q,governance/stage_gates/s3pa/whkm_boundary_tests.log,active
REQ-WHKM-BOUNDARY-001,MOD-002,ASM-002,FORM-010,PARAM-075,S3PAT01,ACC-S3PAT01-WHKM-BOUNDARY,whkmSalary/streamlit_app.py:39,NOT_APPLICABLE,python -B -m unittest discover -s whkmSalary/tests -q,governance/stage_gates/s3pa/whkm_boundary_tests.log,active
REQ-WHKM-SALARY-001,MOD-001,ASM-002,FORM-002,PARAM-006,TASK-WHKM-A-002,ACC-WHKM-A-002,whkmSalary/salary_logic.py:53,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,whkmSalary/docs/governance/parameter_registry.csv,active
